Basis,Method,X,Angle,Energy,nab,nai,nij
dz,mp2a,1.0,7,-2.074921301950262,1366,575,139
dz,mp2b,1.0,7,-2.1142337543696614,1366,575,139
dz,mp3b,1.0,7,-0.03341976440085487,1366,575,139
dz,mp3d,1.0,7,-0.05089573952139603,1366,575,139
dz,mp2a,1.0,6,-2.0780315387427883,1371,572,139
dz,mp2b,1.0,6,-2.1174801097097014,1371,572,139
dz,mp3b,1.0,6,-0.03058715798943365,1371,572,139
dz,mp3d,1.0,6,-0.04804711906258802,1371,572,139
dz,mp2a,1.0,5,-2.0685671404061825,1359,576,139
dz,mp2b,1.0,5,-2.1072650886168116,1359,576,139
dz,mp3b,1.0,5,-0.03307174339316146,1359,576,139
dz,mp3d,1.0,5,-0.05013417706567924,1359,576,139
dz,mp2a,1.0,4,-2.0829046697727804,1366,580,139
dz,mp2b,1.0,4,-2.1219908861409182,1366,580,139
dz,mp3b,1.0,4,-0.029984645872453947,1366,580,139
dz,mp3d,1.0,4,-0.04731417617147726,1366,580,139
dz,mp2a,1.0,3,-2.0760242416096855,1358,575,139
dz,mp2b,1.0,3,-2.1154368786085356,1358,575,139
dz,mp3b,1.0,3,-0.03240324404016259,1358,575,139
dz,mp3d,1.0,3,-0.04957589544122118,1358,575,139
dz,mp2a,1.0,2,-2.0703216879952073,1369,572,138
dz,mp2b,1.0,2,-2.1097893892860298,1369,572,138
dz,mp3b,1.0,2,-0.03131185239711795,1369,572,138
dz,mp3d,1.0,2,-0.04886436873801728,1369,572,138
dz,mp2a,1.0,1,-2.0788202875283397,1367,568,139
dz,mp2b,1.0,1,-2.1184286089495217,1367,568,139
dz,mp3b,1.0,1,-0.028648472404904646,1367,568,139
dz,mp3d,1.0,1,-0.0460824187049913,1367,568,139
dz,mp2a,1.0,16,-2.081231245373572,1359,574,138
dz,mp2b,1.0,16,-2.1204507856293087,1359,574,138
dz,mp3b,1.0,16,-0.0269890140869668,1359,574,138
dz,mp3d,1.0,16,-0.044282469287113185,1359,574,138
dz,mp2a,1.0,17,-2.0757766189843987,1364,565,138
dz,mp2b,1.0,17,-2.115406571732663,1364,565,138
dz,mp3b,1.0,17,-0.028762398865352284,1364,565,138
dz,mp3d,1.0,17,-0.04612743415614917,1364,565,138
dz,mp2a,1.0,18,-2.075962364569025,1358,570,139
dz,mp2b,1.0,18,-2.115862562972046,1358,570,139
dz,mp3b,1.0,18,-0.032337918355893114,1358,570,139
dz,mp3d,1.0,18,-0.049909909284264475,1358,570,139
dz,mp2a,1.0,19,-2.0900956885164543,1372,573,139
dz,mp2b,1.0,19,-2.1300353922677626,1372,573,139
dz,mp3b,1.0,19,-0.030411357511208298,1372,573,139
dz,mp3d,1.0,19,-0.047921104171746,1372,573,139
dz,mp2a,1.0,20,-2.084489117510562,1357,576,138
dz,mp2b,1.0,20,-2.12439115797842,1357,576,138
dz,mp3b,1.0,20,-0.03200613635204266,1357,576,138
dz,mp3d,1.0,20,-0.049552356018911475,1357,576,138
dz,mp2a,1.0,21,-2.0771261683782987,1369,568,139
dz,mp2b,1.0,21,-2.1162515124038546,1369,568,139
dz,mp3b,1.0,21,-0.03212412778877727,1369,568,139
dz,mp3d,1.0,21,-0.049660966078031304,1369,568,139
dz,mp2a,1.0,22,-2.082816029318595,1359,574,139
dz,mp2b,1.0,22,-2.1225875161596504,1359,574,139
dz,mp3b,1.0,22,-0.03178615409975252,1359,574,139
dz,mp3d,1.0,22,-0.049318358713425214,1359,574,139
dz,mp2a,1.0,23,-2.079779388914157,1370,566,139
dz,mp2b,1.0,23,-2.1191080341356985,1370,566,139
dz,mp3b,1.0,23,-0.031801450958508254,1370,566,139
dz,mp3d,1.0,23,-0.04940874045871807,1370,566,139
dz,mp2a,1.0,24,-2.079071476106883,1356,568,139
dz,mp2b,1.0,24,-2.1189957874016274,1356,568,139
dz,mp3b,1.0,24,-0.031436139109720845,1356,568,139
dz,mp3d,1.0,24,-0.04898883419696243,1356,568,139
dz,mp2a,1.0,25,-2.0820348864687968,1364,575,140
dz,mp2b,1.0,25,-2.1213697479248252,1364,575,140
dz,mp3b,1.0,25,-0.03229371331891581,1364,575,140
dz,mp3d,1.0,25,-0.04981949842240668,1364,575,140
dz,mp2a,1.0,26,-2.081142478264392,1361,565,139
dz,mp2b,1.0,26,-2.1209989508986093,1361,565,139
dz,mp3b,1.0,26,-0.032867351561405606,1361,565,139
dz,mp3d,1.0,26,-0.05069327289014225,1361,565,139
dz,mp2a,1.0,27,-2.078264682014657,1367,570,139
dz,mp2b,1.0,27,-2.118013989883835,1367,570,139
dz,mp3b,1.0,27,-0.0327649757599727,1367,570,139
dz,mp3d,1.0,27,-0.05035364622496291,1367,570,139
dz,mp2a,1.0,28,-2.0767778502985674,1363,564,139
dz,mp2b,1.0,28,-2.1164751860498017,1363,564,139
dz,mp3b,1.0,28,-0.03363442808498479,1363,564,139
dz,mp3d,1.0,28,-0.0514256346574912,1363,564,139
dz,mp2a,1.0,29,-2.0822533800102843,1364,566,138
dz,mp2b,1.0,29,-2.121956123223982,1364,566,138
dz,mp3b,1.0,29,-0.03278593797720403,1364,566,138
dz,mp3d,1.0,29,-0.05043438496273048,1364,566,138
dz,mp2a,1.0,30,-2.0768795006894756,1360,568,139
dz,mp2b,1.0,30,-2.116199985879925,1360,568,139
dz,mp3b,1.0,30,-0.03320692491840882,1360,568,139
dz,mp3d,1.0,30,-0.05091843842299559,1360,568,139
dz,mp2a,1.0,31,-2.07882028752834,1367,568,139
dz,mp2b,1.0,31,-2.118428608949523,1367,568,139
dz,mp3b,1.0,31,-0.02864847240490373,1367,568,139
dz,mp3d,1.0,31,-0.04608241870499147,1367,568,139
dz,mp2a,1.2,15,-2.1366298862986772,1624,690,148
dz,mp2b,1.2,15,-2.1741424930153177,1624,690,148
dz,mp3b,1.2,15,-0.02662336502370563,1624,690,148
